id,title_standard,title_alternatives,category,approximate_date,date_confidence,surviving_languages,manuscript_witnesses,primary_community_or_tradition,key_content_summary,evidence_of_historical_popularity_or_use,reasons_excluded_or_marginalized,relationship_to_canonical_texts,modern_editions_translations_digital_access,scholarly_notes,sources_count
AF-001,1 Clement,,apostolic-fathers-church-order,c. 96 CE; high,high,"Greek, Latin, Syriac, Coptic",Read in Corinth; in Codex Alexandrinus; patristic respect,Roman church to Corinth,"Exhortation to restore presbyters; order, humility, resurrection",Read in Corinth; in Codex Alexandrinus; patristic respect,Not apostolic-author scripture; local occasional letter,Uses OT extensively; echoes Paul/Hebrews,Holmes/Ehrman Loeb; CCEL,Shows Roman authority and early ecclesiology,2
AF-002,2 Clement,,apostolic-fathers-church-order,c. 120–170 CE; medium,medium,"Greek, Syriac",Manuscript with 1 Clement; church reading,Early Christian homily,"Repentance, fleshly resurrection, church as preexistent",Manuscript with 1 Clement; church reading,"Anonymous homily, not apostolic","Quotes sayings of Jesus, some noncanonical",Holmes/Ehrman,Early sermon and Jesus-tradition witness,2
AF-003,Didache,Teaching of the Twelve Apostles,apostolic-fathers-church-order,c. 80–120 CE; medium-high,high,Greek; Coptic/Ethiopic fragments,Ancient citations; included in some canon lists as disputed/useful,Syrian? early church order,"Two Ways ethics, baptism, fasting, Eucharist prayers, itinerant prophets",Ancient citations; included in some canon lists as disputed/useful,"Church manual, anonymous; not NT canon though valued","Parallels Matthew, Two Ways tradition",Holmes; Ehrman; public translations,"Crucial for early liturgy, ethics, prophets",2
AF-004,Epistle of Barnabas,,apostolic-fathers-church-order,c. 70–135 CE; medium,medium,"Greek, Latin",Codex Sinaiticus includes it after NT; citations,Alexandrian? early Christian,Allegorical Torah interpretation; Two Ways; anti-Jewish supersessionism,Codex Sinaiticus includes it after NT; citations,"Non-apostolic/contested, theological polemic; excluded",Interprets OT as Christian allegory,Holmes; Ehrman,Shows radical Christian rereading of Torah,2
AF-005,Shepherd of Hermas,,apostolic-fathers-church-order,c. 100–160 CE; high-ish,high,"Greek, Latin, Ethiopic, Coptic",Codex Sinaiticus; Muratorian Fragment says read but not among prophets/apostles; widely cited,Roman Christian prophetic-apocalyptic,"Visions, mandates, similitudes; repentance after baptism; angelic church tower",Codex Sinaiticus; Muratorian Fragment says read but not among prophets/apostles; widely cited,"Too recent, not apostolic; moral rigorism; useful but noncanonical",Uses apocalyptic imagery; church as tower,Holmes; Ehrman; Lake,One of the most popular noncanonical early Christian books,2
AF-006,Epistles of Ignatius of Antioch,,apostolic-fathers-church-order,c. 110 CE; high for middle recension,high,"Greek, Syriac, Latin",Broad early citation and manuscript tradition,Antiochene/Asia Minor Christian,"Bishop, Eucharist, martyrdom, anti-docetism",Broad early citation and manuscript tradition,Real letters but not apostolic-era scripture,Echoes Paul/John; early high Christology,Holmes; Ehrman,Important but generally not “scripture”; ecclesiology and martyrdom,2
AF-007,Polycarp to Philippians and Martyrdom of Polycarp,,apostolic-fathers-church-order,c. 110–160 CE,medium,"Greek, Latin",Eusebius; manuscript tradition; liturgical martyr cult,Asia Minor Christian,Ethical exhortation; narrative of Polycarp’s martyrdom,Eusebius; manuscript tradition; liturgical martyr cult,"Historical/martyrological, not canon",Quotes/echoes NT; martyr as Christ-imitator,Holmes; Ehrman,Early martyr theology and scriptural reception,2
AF-008,Epistle to Diognetus,,apostolic-fathers-church-order,c. 2nd c. CE; medium,medium,Greek,Single medieval manuscript lost after copies; influential modern but weak ancient use,Early Christian apologetic,Christians as third race; critique of idolatry/Jewish ritual; incarnation,Single medieval manuscript lost after copies; influential modern but weak ancient use,Limited evidence of ancient circulation; included here as borderline,Apologetic use of creation/Logos themes,Holmes/Ehrman,Borderline: significant theologically but manuscript evidence is thin,2
DC-001,Tobit,,deuterocanonical-apocrypha,3rd–2nd c. BCE; high-ish via Qumran and Greek,high,"Aramaic/Hebrew fragments; Greek; Latin, Syriac",Multiple Qumran copies; LXX; Christian manuscripts,Diaspora/Second Temple Jewish; later Christian,"Pious Tobit and Tobias; angel Raphael; demon Asmodeus; almsgiving, burial, marriage",Multiple Qumran copies; LXX; Christian manuscripts,Excluded from Tanakh/Prot OT; RC/EO canonical,"Wisdom/narrative parallels Genesis, Job; angelology",NETS; NRSV Apocrypha; Qumran editions,"Important for popular piety, angels, demons, charity",2
DC-002,Judith,,deuterocanonical-apocrypha,2nd–1st c. BCE; medium,medium,Greek primarily; later Latin/Syriac,LXX and Vulgate; church use,Hellenistic Jewish; Christian reception,Widow Judith saves Israel by killing Holofernes,LXX and Vulgate; church use,Historical/geographical fiction; excluded from Tanakh/Prot OT; RC/EO canonical,Reworks deliverance motifs from Judges/Esther,NETS; NRSV; Vulgate,Model of pious resistance and gendered heroism,2
